,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
79,"Data Scientist, Junior",$58T - $1L (Employer Est.),"The Opportunity:
As a data scientist, you’re excited at the prospect of unlocking the secrets held by a data set, and you’re fascinated by the possibilities presented by IoT, machine learning, and artificial intelligence. In an increasingly connected world, massive amounts of structured and unstructured data open new opportunities. As a data scientist at Booz Allen, you can help turn these complex data sets into useful information to solve global challenges. Across private and public sectors—from fraud detection to cancer research to national intelligence—we need you to help find the answers in the data.
On our team, you’ll use your analytical skills to help create real-world impact. You’ll work closely with clients to understand their questions and needs, and then dig into their data-rich environments to find the pieces of their information puzzle. You’ll work with and learn from your teammates as you develop algorithms and systems. You’ll use the right combination of tools and frameworks to turn sets of disparate data points into objective answers so that your clients can make informed decisions. Ultimately, you’ll provide a deep understanding of the data, what it all means, and how it can be used. Due to the nature of work performed within this facility, U.S. citizenship is required.
Salary at Booz Allen is determined by various factors, including but not limited to location, the individual’s particular combination of education, knowledge, skills, competencies, and experience, as well as contract-specific affordability and organizational requirements. The projected compensation range for this position is $58,400.00 to $133,000.00 (annualized USD). The estimate displayed represents the typical salary range for this position and is just one component of Booz Allen’s total compensation package for employees.",4.2,"Booz Allen Hamilton
4.2","McLean, VA",10000+ Employees,1914,Company - Public,Business Consulting,Management & Consulting,$5 to $10 billion (USD)
80,"Data Scientist, Venmo",$73T - $2L (Employer Est.),"At PayPal (NASDAQ: PYPL), we believe that every person has the right to participate fully in the global economy. Our mission is to democratize financial services to ensure that everyone, regardless of background or economic standing, has access to affordable, convenient, and secure products and services to take control of their financial lives.
Job Description Summary: Data Scientist for Venmo Analytics team who is very strong at generating valuable insights from data through deep dive analysis, experienced at supporting new product launches by establishing test and control plans and ensuring constant monitoring is in place to track product performance.
Job Description:
About You
We are seeking an exceptional Data Scientist for Venmo Analytics team with a passion for data insights and relentless focus on execution:


PayPal is committed to fair and equitable compensation practices.

Actual Compensation is based on various factors including but not limited to work location, and relevant skills and experience.

The total compensation for this practice may include an annual performance bonus (or other incentive compensation, as applicable), equity, and medical, dental, vision, and other benefits. For more information, visit https://www.paypalbenefits.com.

The U.S. national annual pay range for this role is $72700 to $176000",3.3,"Venmo
3.3","San Jose, CA",51 to 200 Employees,2009,Company - Public,Financial Transaction Processing,Finance,Unknown / Non-Applicable
81,Data Scientist,$92T - $1L (Glassdoor Est.),"We are a leading financial services provider committed to making decisions easier and lives better for our customers and colleagues around the world. From our environmental initiatives to our community investments, we lead with values throughout our business. To help us stand out, we help you step up, because when colleagues are healthy, respected and meaningfully challenged, we all thrive. Discover how you can grow your career, make impact and drive real change with our Winning Team today.
Working Arrangement
Hybrid
Job Description










Boston, Massachusetts
$83,440.00 USD - $154,960.00 USD
Company: John Hancock Life Insurance Company (U.S.A.)",3.9,"John Hancock
3.9","Boston, MA",1001 to 5000 Employees,1862,Subsidiary or Business Segment,Insurance Carriers,Insurance,$25 to $50 million (USD)
82,"Data Scientist, Marketing Analytics",$1L (Employer Est.),"Company Description

Etsy is the global marketplace for unique and creative goods. We build, power, and evolve the tools and technologies that connect millions of entrepreneurs with millions of buyers around the world. As an Etsy Inc. employee whether a team member of Etsy, Reverb, Depop, or Elo7 you will tackle unique, meaningful, and large-scale problems alongside passionate coworkers, all the while making a rewarding impact and Keeping Commerce Human.

Job Description

What's the Role?",4.5,"Etsy
4.5","Brooklyn, NY",1001 to 5000 Employees,2005,Company - Public,Other Retail Shops,Retail & Wholesale,$2 to $5 billion (USD)
83,Data Scientist,$73T - $1L (Glassdoor Est.),"What's Next? Join ZF!
ZF is a global technology company supplying systems for passenger cars, commercial vehicles and industrial technology, enabling the next generation of mobility.
ZF allows vehicles to see, think and act. In the four technology domains of Vehicle Motion Control, Integrated Safety, Automated Driving, and Electric Mobility, ZF offers comprehensive product and software solutions for established vehicle manufacturers and newly emerging transport and mobility service providers. ZF electrifies a wide range of vehicle types. With its products, the company contributes to reducing emissions, protecting the climate and enhancing safe mobility.
Data Scientist",3.9,"ZF
3.9","Gray Court, SC",10000+ Employees,1915,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD)
84,Data Scientist (L6) - Ads,$94T - $2L (Glassdoor Est.),"Los Angeles, California
Advertising
At Netflix, we seek to entertain the world. We have more than 200 million members in 190 countries, reflecting that great stories can come from anywhere and be loved everywhere.

In Nov 2022, we launched a new lower-priced, ad-supported tier for our customers. We are now continuing to build on our goal of providing more choice for consumers and a premium, better-than-linear TV brand experience for advertisers. That said, we are looking for the founding members of this new business area for Netflix!

The Ads Data Science and Engineering team at Netflix’s mission is to help build the foundation of the ads business at Netflix. We conduct analyses and develop analytic tools, build predictive models and algorithms using machine learning, all with the goal of creating more choices and joy for our members. You’ll work closely with partner teams to build workflows, provide recommendations and drive success on end-to-end analytics initiatives in this 0 -1 space.",4.3,"Netflix
4.3","Los Angeles, CA",5001 to 10000 Employees,1997,Company - Public,Internet & Web Services,Information Technology,$5 to $10 billion (USD)
85,Director- Data Science Platform,$1L - $2L (Glassdoor Est.),"Company Description

Visa is a world leader in digital payments, facilitating more than 215 billion payments transactions between consumers, merchants, financial institutions and government entities across more than 200 countries and territories each year. Our mission is to connect the world through the most innovative, convenient, reliable and secure payments network, enabling individuals, businesses and economies to thrive.
When you join Visa, you join a culture of purpose and belonging – where your growth is priority, your identity is embraced, and the work you do matters. We believe that economies that include everyone everywhere, uplift everyone everywhere. Your work will have a direct impact on billions of people around the world – helping unlock financial access to enable the future of money movement.
Join Visa: A Network Working for Everyone.",4.1,"Visa
4.1","Foster City, CA",10000+ Employees,1958,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD)
86,Data Scientist,$1L - $2L (Glassdoor Est.),"Requisition ID # 149071

Job Category: Accounting / Finance
Job Level: Individual Contributor
Business Unit: Information Technology
Work Type: Hybrid
Job Location: Oakland

ABOUT THE TEAM
The Data & Analytics organization builds data products to inform PG&E’s Wildfire Safety Program. The data science team specifically builds tools and models towards proactive care and maintenance of our electric assets. We collaborate closely with diverse partners across the company to prevent wildfires in California.

ABOUT THE ROLE
In this role you will build data science models, end to end. From user discovery through data cleaning, feature engineering, model training and validation, stakeholder presentations, and visualizations, your goal is to help:

Prevent wildfires.
Inform how much to invest in inspecting power lines.
Inform Public Safety Power Shutoffs.
Support data-driven decisions for multiple lines of business.


Will break down nebulous problems into workable chunks.
Will synthesize complex information into clear business insights.
Will translate technical insights into actions.
Will collaborate closely with field engineers, domain experts, and business owners in building models.
Are a good listener and anticipate your stakeholders’ needs.
Are humble and self-aware.
Are tenacious in chasing down data and solutions while honoring people.
Are curious about approaching problems from different perspectives.

PG&E is providing the salary range that the company in good faith believes it might pay for this position at the time of the job posting. This compensation range is specific to the locality of the job. The actual salary paid to an individual will be based on multiple factors, including, but not limited to, specific skills, education, licenses or certifications, experience, market value, geographic location, and internal equity. We would not anticipate that the individual hired into this role would land at or near the top half of the range described below, but the decision will be dependent on the facts and circumstances of each case.



$102,000.00
$162,000.00
&/OR
$97,000.00
$154,000.00

This position is hybrid, working from your remote office and your assigned work location based on business need. The assigned work location will be within the PG&E Service Territory.


Have an undergraduate or graduate degree in a quantitative field with an emphasis on the statistics underpinning data science.
Have 2 years of experience working in data science
Have experience with the entire data science lifecycle.
Are very comfortable coding in Python and SQL.
Have built various regression and machine learning models.
Have worked with highly imbalanced datasets.
Identify problems and implement solutions on your own initiative.
Are curious about and challenge model results.
Are familiar with Bayesian updating.

MINIMUM REQUIREMENTS
Bachelor’s Degree in Computer Science, Econometrics, Economics, Engineering, Mathematics, Applied Sciences, Statistics or job-related discipline or equivalent experience
Job-related experience (e.g. data analytics and modeling), 2 years, OR Master’s Degree, OR Doctorate Degree


Are a group of people who are bright, kind, and care deeply about one another.
Bring our whole, authentic selves here and encourage you to do the same.
Embrace diversity of backgrounds, skills, and thought in tackling and adapting to our collective climate change challenges.
Take our goal of preventing wildfires very seriously. We don’t take ourselves too seriously.
Proactively do what needs to be done to move the work forward regardless of our titles.
Do not shy away from seemingly intractable challenges.
Believe failures are necessary to reach any successes.
Share in failures and successes, equally, as a team.
Have smart and empathic leadership who care about their employees and are open to new ideas.
Encourage agency in making decisions and doing the right thing.
Are proud to say we work on preventing wildfires in California.",3.9,"PG&E Corporation
3.9","Oakland, CA",10000+ Employees,1905,Company - Public,Energy & Utilities,"Energy, Mining, Utilities",$10+ billion (USD)
87,U.S. Data Science Leader,$2L - $3L (Employer Est.),"U.S. Data Science Leader

New York, United States
February 22, 2023
Willis Towers Watson is a market leader in insurance analytics with decades of experience of transforming data into business value for our clients. We continually invest in the development of our software and broader consulting propositions and are now looking for a Director to join our existing analytics technology & regional consulting leadership teams.
The Role
The role will be instrumental in driving the development in the area of data science and advanced analytics. The successful candidate will have responsibility for the advancement of our data science capability and propositions, working in close collaboration with other Regional Data Science Leaders and the Global Proposition Leader to help form our global and regional approaches, building on top of our market-leading analytics and data science software products, Emblem and Radar.",3.9,"Willis Towers Watson
3.9","New York, NY",10000+ Employees,1828,Company - Public,Business Consulting,Management & Consulting,$10+ billion (USD)
88,Data Scientist,$90T - $1L (Glassdoor Est.),"Company Description

Visa is a world leader in digital payments, facilitating more than 215 billion payments transactions between consumers, merchants, financial institutions and government entities across more than 200 countries and territories each year. Our mission is to connect the world through the most innovative, convenient, reliable and secure payments network, enabling individuals, businesses and economies to thrive.
When you join Visa, you join a culture of purpose and belonging – where your growth is priority, your identity is embraced, and the work you do matters. We believe that economies that include everyone everywhere, uplift everyone everywhere. Your work will have a direct impact on billions of people around the world – helping unlock financial access to enable the future of money movement.
Join Visa: A Network Working for Everyone.",4.1,"Visa
4.1","Washington, DC",10000+ Employees,1958,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD)
89,Data Science (Senior - Advisor),$88T - $1L (Glassdoor Est.),"We are looking for the right people — people who want to innovate, achieve, grow and lead. We attract and retain the best talent by investing in our employees and empowering them to develop themselves and their careers. Experience the challenges, rewards and opportunity of working for one of the world’s largest providers of products and services to the global energy industry.

About the group:
Production Enhancement encompasses all of Halliburton’s Hydraulic Fracturing and Wellbore Stimulation efforts. Halliburton pioneered hydraulic fracturing technology and revolutionized the oil and gas industry when we executed the first hydraulic fracturing procedure in 1947. Since then, we have remained the industry leader in providing fracturing and stimulation services all over the world. The Applied Sciences R&D team is where it all starts. From technology and process improvement to new product development, this team is the heart of Halliburton’s largest Product Service Line and the very foundation of Halliburton’s position as the industry leader and principal innovator in well stimulation products and services.",3.7,"Halliburton
3.7","Houston, TX",10000+ Employees,1919,Company - Public,Energy & Utilities,"Energy, Mining, Utilities",$10+ billion (USD)
90,Data Science Lead (Hybrid),$89T - $1L (Glassdoor Est.),"Company Description

GO WITH A DIVISION USING THREE STRONG CHANNELS TO GENERATE $990 MILLION IN ANNUAL SALES
At the Robert Bosch Tool Corporation, we know that every career matters. Which is why you should conduct yours on a grand scale. Headquartered in the northwest Chicago suburb of Mount Prospect, we are a $990 million division of Bosch, a multinational engineering and electronics organization and the largest privately held employer in the world.
Guided by the principles of founder Robert Bosch, we offer a setting where social and environmental responsibility are part of our corporate DNA. Always mindful of our impact on the future, we are committed to sustainability, paying it forward, giving back, and lifelong learning. These are but a few of the reasons why our parent company has more than 400,000 associates and a legacy of success spanning 135+ years.",4.3,"Bosch Group
4.3","Mount Prospect, IL",10000+ Employees,1886,Company - Private,Consumer Product Manufacturing,Manufacturing,$10+ billion (USD)
91,"Manager, Data Science",$1L - $2L (Employer Est.),"Position Overview:
For our agile Data, AI and Analytics team, Tiffany is looking for a Manager of the Advanced analytics chapter to manage one data science resource and support the design, build and industrialization of Machine Learning, advanced analytics and other automations leveraging data within the business areas of CRM, Supply Chain, Digital, Media... Examples of possible use cases include customer segmentation, product recommendation, demand forecast, demand sensing, pricing optimization, churn prediction, customer comments understanding, and R&D topics… The candidate Data science manager will integrate a Center Of Excellence made of a Digital Analytics Manager, and a Business and Client Intelligence manager, partnering closely with them in delivering data solutions to the broader enterprise.
Key Accountabilities:
Source and Management third party for advanced analytics",3.4,"Tiffany & Co.
3.4","New York, NY",10000+ Employees,1837,Company - Public,Other Retail Shops,Retail & Wholesale,$2 to $5 billion (USD)
92,Data Science Lead Analyst,$80T - $1L (Glassdoor Est.),"Description

All the benefits and perks you need for you and your family:
Benefits from Day One
Paid Days Off from Day One
Debt-free Education* (Certifications and Degrees without out-of-pocket tuition expense)
Our promise to you:
Joining AdventHealth is about being part of something bigger. It’s about belonging to a community that believes in the wholeness of each person, and serves to uplift others in body, mind and spirit. AdventHealth is a place where you can thrive professionally, and grow spiritually, by Extending the Healing Ministry of Christ. Where you will be valued for who you are and the unique experiences you bring to our purpose-minded team. All while understanding that we are even better.



This facility is an equal opportunity employer and complies with federal, state and local anti-discrimination laws, regulations and ordinances.",3.9,"AdventHealth
3.9","Maitland, FL",1001 to 5000 Employees,1973,Non-profit Organisation,Healthcare Services & Hospitals,Healthcare,$10+ billion (USD)
93,Junior Data Scientist,$1L - $2L (Employer Est.),"Responsibilities:
Peraton is hiring an Enterprise Data Modeling Team Data Scientist to join our Cyber Mission business unit in Fort Meade, Maryland. As a Data Scientist on our team, you will support one of the largest enterprise-wide engineering contracts within the Intelligence Community. This is a full-time position requiring 1880 hours of support per year; and work is performed at a customer location. As an Enterprise Data Modeling Team Data Scientist on our team, you will focus on extracting knowledge and insights from both structured and unstructured data in various forms. The candidate will generate reports that summarize analysis of data representations to provide data-driven insights to customers. The qualified candidate will partner with subject matter experts to translate manual data analysis into automated analytics.
Qualifications:
Individual Capabilities/Experience Required:
Bachelor’s degree or advanced degree in Computer Science, Mathematics, or other related discipline plus at least 3 years of experience in Mathematics/Statistics; Computer Science; analysis of data syntax and semantics; and domain expertise/analysis. A qualifying Masters or PhD degree may be substituted for three (3) years of experience. A high school diploma or GED plus 4 years of data science experience would also be acceptable.

Peraton Overview:
Target Salary Range: $112,000 - $179,000. This represents the typical salary range for this position based on experience and other factors. EEO Tagline (Text Only): An Equal Opportunity Employer including Disability/Veteran.",3.6,"Peraton
3.6","Columbia, MD",10000+ Employees,2017,Company - Private,Information Technology Support Services,Information Technology,$5 to $10 billion (USD)
94,Data Scientist,$83T - $1L (Employer Est.),"Job Description
About Constellation Brands
If you have taken a moment to toast with a glass of wine, celebrate with a cocktail, or relax with a bottle of beer, chances are that you’ve shared that moment with us. For more than 75 years, we’ve led the beer, wine, and spirits industry by building admired brands that delight our consumers. Our portfolio balances iconic brands, such as Corona and Modelo, with exciting gems, such as Prisoner Wine Company and High West.
About the Digital Business Acceleration (DBA) Team
Today, we continue to push boundaries by transforming our company through the Digital Business Acceleration (DBA) program. As a member of an agile team, using digital, data science and advanced analytics, you will build business-changing digital tools and capabilities with a state-of-the-art tech stack. As a member of DBA, are the architect of your career with support and mentorship to thrive. You will have the opportunity to dive headfirst into exciting opportunities that will enable you to learn new things and work on a variety of different projects. We value bold ideas, teamwork, and an entrepreneurial spirit. We like to have fun and truly embody a work hard, play hard mentality.





Virtual - US
Full time
Marketing
$82,700.00 - $126,700.00",4.0,"Constellation Brands
4.0",Remote,5001 to 10000 Employees,1945,Company - Public,Food & Beverage Manufacturing,Manufacturing,$5 to $10 billion (USD)
95,Data Science Analyst,$75T - $1L (Employer Est.),"Claritas Rx is a digital health venture that brings clarity to the challenges of specialty biopharmaceutical products in the marketplace. In today’s highly complex specialty networks, our mission is to illuminate the patient experience beyond the clinical trial. Claritas Rx leverages a proprietary technology platform and deep manufacturer expertise to automate and integrate channel, commercial, and clinical data and help biopharmaceutical companies generate actionable business insights. Our work uncovers the real-world variables impacting patient access, duration of therapy, and other metrics key to commercial success, making a real impact on patient healthcare.
The Position
Claritas Rx has a nimble Silicon Valley start-up culture. We are looking to build a strong team of domain experts that can help scale a premier channel management solution.

At Claritas Rx, Data Scientists work with our Customer Success and product teams to design, build, and deploy advanced analytics models to support our product and customers’ business needs. Data Scientists also support Customer Success in analytics consulting engagements and develop custom features. Claritas Data Scientists perform a range of activities that include data analytics, model building, presentation and delivery of results. Our Data Scientists are active advisors to both our customers and our product team: they are data curious, enjoy analytical problem solving, are learning-oriented and enjoy coaching and collaborating with other team members to solve a variety of business problems. The ideal candidate for this position is a self-starter, intellectually curious, result-oriented and thrives in a fast-paced entrepreneurial environment.",4.9,"Claritas Rx Inc.
4.9","South San Francisco, CA",51 to 200 Employees,2011,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Unknown / Non-Applicable
96,Junior Data Scientist,$80T - $90T (Employer Est.),"As a Junior Data Scientist, you will help support the Senior Data Scientist in analysis and research, and machine learning modeling that is underpinning new and current products. Additionally, the Junior Data Scientist will support the Data Engineer in building new data pipelines including new ETL functions.
Essential Duties/Responsibilities

Data Analysis
Data Research
Partner with Sr. Data Scientist to build pipelines for new functions
Resolve issues
Troubleshooting",3.5,"SoundThinking, Inc.
3.5","Fremont, CA",201 to 500 Employees,1996,Company - Public,Software Development,Information Technology,$25 to $50 million (USD)
97,"Associate Engineer, Data Science",Easy Apply,"Company Description

We're Nagarro.

We are a digital product engineering company that is scaling in a big way! We build products, services, and experiences that inspire, excite, and delight. We work at scale — across all devices and digital mediums, and our people exist everywhere in the world (18,000+ experts across 33 countries, to be exact). Our work culture is dynamic and non-hierarchical. We're looking for great new colleagues. That's where you come in!

Job Description

You have begun to prove your worth in our industry! How has the experience been so far? We hope it has been rewarding. At Nagarro, we want to take the word “hope” out of that sentence. At Nagarro, if you are ready to take the next step, we are ready to take you to the next level. Want to work with the coolest tech, the brightest minds, and be able to solve the most challenging problems, then look no further.

Additional Information

Click here to access the application privacy notice",4.2,"Nagarro
4.2",Remote,10000+ Employees,1996,Company - Public,Information Technology Support Services,Information Technology,$100 to $500 million (USD)
98,Data Scientist,Easy Apply,"Anika Systems is looking for a passionate and talented Data Scientist to join our expanding Federal team. We are a fast-growing woman-owned small business providing innovative IT solutions for federal government agencies. This opportunity will be 100% remote.
Responsibilities:

Involved in the analysis of unstructured and semi-structured data, including latent semantic indexing (LSI), entity identification and tagging, complex event processing (CEP), and the application of analysis algorithms on distributed, clustered, and cloud-based high-performance infrastructures.

Exercises creativity in applying non-traditional approaches to large-scale analysis of unstructured data in support of high-value use cases visualized through multi-dimensional interfaces. Handle processing and index requests against high-volume collections of data and high-velocity data streams.",4.5,"Anika Systems
4.5",Remote,51 to 200 Employees,2005,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD)
99,"Data Scientist, Junior",$58T - $1L (Employer Est.),"The Opportunity:
As a data scientist, you’re excited at the prospect of unlocking the secrets held by a data set, and you’re fascinated by the possibilities presented by IoT, machine learning, and artificial intelligence. In an increasingly connected world, massive amounts of structured and unstructured data open new opportunities. As a data scientist at Booz Allen, you can help turn these complex data sets into useful information to solve global challenges. Across private and public sectors—from fraud detection to cancer research to national intelligence—we need you to help find the answers in the data.
On our team, you’ll use your analytical skills to help create real-world impact. You’ll work closely with clients to understand their questions and needs, and then dig into their data-rich environments to find the pieces of their information puzzle. You’ll work with and learn from your teammates as you develop algorithms and systems. You’ll use the right combination of tools and frameworks to turn sets of disparate data points into objective answers so that your clients can make informed decisions. Ultimately, you’ll provide a deep understanding of the data, what it all means, and how it can be used. Due to the nature of work performed within this facility, U.S. citizenship is required.
Salary at Booz Allen is determined by various factors, including but not limited to location, the individual’s particular combination of education, knowledge, skills, competencies, and experience, as well as contract-specific affordability and organizational requirements. The projected compensation range for this position is $58,400.00 to $133,000.00 (annualized USD). The estimate displayed represents the typical salary range for this position and is just one component of Booz Allen’s total compensation package for employees.",4.2,"Booz Allen Hamilton
4.2","McLean, VA",10000+ Employees,1914,Company - Public,Business Consulting,Management & Consulting,$5 to $10 billion (USD)
100,Lead Data Scientist,Easy Apply,"Senior/Lead Data Scientist
FinchAI is a fast-growing, fast-paced software development organization; our mission is to build new ways of interacting with information. We do that by leveraging game-changing intellectual property and a staff that is second to none. Together, we build and support products that address complex, real-time data and analytics needs in the enterprise.
Responsibilities:
Design, develop and evaluate machine learning models suitable for text analytics tasks such as extraction, disambiguation and classification
Contribute to the design of solutions that fit the business problem, may include custom algorithm development
Develop new features for existing products, implement proof of concept and prototypes
Work closely with product development teams and product stakeholders following an Agile product development methodology",3.3,"Finch Computing
3.3",Remote,1 to 50 Employees,2014,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
101,Data Scientist - Hybrid,$75T - $1L (Glassdoor Est.),"Company Description

At Spear, our mission is to help dentists and their teams pursue and achieve “Great Dentistry.” Spear drives dental practice growth by advancing our clients clinical skills, improving their practice management capabilities and enhancing the patient experience by leveraging both our deep dental expertise and our technology forward solutions. We offer holistic solutions that include a full learning management system, a practice consulting service supported by a robust analytics platform and industry experts, and patient engagement tools that complement the normal workflows within a dental practice. In addition, we deliver live, collaborative education led by the brightest clinical and business minds in dentistry through virtual seminars and events, as well as through hands on learning opportunities at our state-of-the-art campus in scenic North Scottsdale. Discover how you can join our diverse and talented team and make an impact at one of the most dynamic companies in Arizona.",3.9,"Spear Education
3.9","Scottsdale, AZ",201 to 500 Employees,2008,Company - Private,Education Support & Training Services,Education,Unknown / Non-Applicable
102,Modeler/Data Scientist,$1L (Employer Est.),"METABIOTA is the pioneer in comprehensive risk analytics that help protect global health. Built on a strong foundation of scientific expertise, including a worldwide network of on-the-ground experts, Metabiota delivers actionable, data-driven analytics to help countries and corporations mitigate complex health issues. With a strategic global presence and sustained partnerships, Metabiota’s agile approach helps identify, analyze and transfer the risk associated with biological threats. For more information, visit http://www.metabiota.com.
ROLE
Metabiota is looking for an exceptional Modeler/Data Scientist. You will be a core member of the team responsible for evaluating and interpreting global infectious disease data with an eye towards developing models, creating statistical distributions of parameters, and performing model validation. Your core mission will be to build, manage, and scale infectious disease models within cloud computing environments. Your work will have direct public health and business implications.",3.8,"Metabiota
3.8","San Francisco, CA",51 to 200 Employees,2008,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Unknown / Non-Applicable
103,Data Science,$1L - $2L (Employer Est.),"Company Overview: Pueo is known for bringing the best talent and unique tools to every opportunity. Pueo's Parliament (aka workforce) is composed of professionals who are seeking the opportunity to work in a small business with a flat organization that thrives on career development and independence. In support of mission and professional growth, our Parliament has supported the development of multiple patents, proprietary tools, and applications as well as trademarked processes.

Role: Pueo Business Solutions is looking for a Data Science SME to support a DoD customer in Quantico. As part of the Pueo team you will be responsible for the data building data models to support decision making.

Qualifications:",4.9,"Pueo Business Solutions
4.9","Quantico, VA",51 to 200 Employees,2017,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD)
104,"Junior Software Engineer, Data Science",$1L - $2L (Glassdoor Est.),"LockerDome is an ad platform with a brain, designed specifically for performance-based advertising. The brain behind the platform is Neo, an in-house AI, which uses machine learning to process billions of data points and make intelligent decisions at lightning speed. Learn more at lockerdome.com.
As a Junior Data Scientist on the Engineering & Product team, you will help design data models that enable decision making at scale.
Your skills should include:
Strong data cleaning skills
In-depth knowledge of statistics and calculus
Experience with R, MATLAB, or other statistics heavy language
Experience with TensorFlow or similar framework is a plus",3.8,"LockerDome, Inc.
3.8","Saint Louis, MO",51 to 200 Employees,2008,Company - Private,Internet & Web Services,Information Technology,$25 to $50 million (USD)
105,Data Science Engineer,$1L (Employer Est.),"Garner's mission is to transform the healthcare economy, delivering high quality and affordable care for all. By helping employers restructure their healthcare benefit to provide clear incentives and data-driven insights, we direct employees to higher quality and lower cost healthcare providers. The result is that patients get better health outcomes while doctors are rewarded for practicing well, not performing more procedures. We are backed by top-tier venture capital firms, are growing rapidly and looking to expand our team.
We're looking for a Data Science Engineer to join our team. This individual will help us improve our proprietary algorithms that rank individual doctor quality. These algorithms are a key component of the company's product that significantly decreases healthcare costs while improving clinical outcomes. We're looking for someone with a strong track record in building and deploying complex analytics.
Garner is headquartered in NYC. This role can be hybrid or remote.
Responsibilities will include:",3.5,"Garner Health
3.5","New York, NY",51 to 200 Employees,2019,Company - Private,Healthcare Services & Hospitals,Healthcare,Unknown / Non-Applicable
106,Data Scientist,$61T - $1L (Employer Est.),"At PayPal (NASDAQ: PYPL), we believe that every person has the right to participate fully in the global economy. Our mission is to democratize financial services to ensure that everyone, regardless of background or economic standing, has access to affordable, convenient, and secure products and services to take control of their financial lives.
Job Description Summary: We are seeking an exceptional data scientist with a passion for data insights and relentless focus on execution: • You are curious and inquisitive: love digging into data and uncovering insights • You are hyper-analytical and intellectually honest, truly believing in data-driven decisions and communicating your ideas through storytelling • You are a highly motivated, result-oriented self-starter, enjoy working in a fast-paced environment, and can deliver successful results with minimal guidance
Job Description:
Your day to day:
PayPal is committed to fair and equitable compensation practices.

Actual Compensation is based on various factors including but not limited to work location, and relevant skills and experience.

The total compensation for this practice may include an annual performance bonus (or other incentive compensation, as applicable), equity, and medical, dental, vision, and other benefits. For more information, visit https://www.paypalbenefits.com.

The U.S. national annual pay range for this role is $60900 to $147400",4.0,"PayPal
4.0","San Jose, CA",10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD)
107,Data Engineer,$58T - $1L (Employer Est.),"The Opportunity:
Ever-expanding technology like IoT, machine learning, and artificial intelligence means that there’s more structured and unstructured data available today than ever before. As a data engineer, you know that organizing big data can yield pivotal insights when it’s gathered from disparate sources. We need a data professional like you to help our clients find answers in their big data to impact important missions—from fraud detection to cancer research to national intelligence. As a big data engineer at Booz Allen, you’ll use your skills and experience to implement data engineering activities on some of the most mission-driven projects in the industry. You’ll develop and deploy the pipelines and platforms that organize and make disparate data meaningful.
Here, you’ll work with a multi-disciplinary team of analysts, data engineers, developers, and data consumers in a fast-paced, agile environment. You’ll sharpen your skills in analytical exploration and data examination while you support the assessment, design, developing, and maintenance of scalable platforms for your clients. This position is located in Aiea, Hawaii.
Salary at Booz Allen is determined by various factors, including but not limited to location, the individual’s particular combination of education, knowledge, skills, competencies, and experience, as well as contract-specific affordability and organizational requirements. The projected compensation range for this position is $58,300.00 to $133,000.00 (annualized USD). The estimate displayed represents the typical salary range for this position and is just one component of Booz Allen’s total compensation package for employees.",4.2,"Booz Allen Hamilton
4.2","Camp H M Smith, HI",10000+ Employees,1914,Company - Public,Business Consulting,Management & Consulting,$5 to $10 billion (USD)
108,Data Scientist,Easy Apply,"Come party with a million people a day in celebrating important events in their lives! Evite, the world’s leading digital platform, is looking for passionate and creative Data Scientist to join our team in Los Angeles. We are looking for people who will contribute to our mission of bringing people together to celebrate their most important life moments.
Evite’s Analytics & Data Infrastructure team is seeking a Data Scientist to help support the all aspects of our business, with a focus on supporting two key areas: Web/Mobile Products and Online Marketing.
Core Capabilities
Proven track record applying Data Science methodologies to drive improvements to online services and product offerings
Proven track record of turning raw data into meaningful intelligence, presenting to business stakeholders, and driving value for the business. Ability to see the business challenge behind analytics challenges",3.6,"Evite, Inc.
3.6",California,51 to 200 Employees,1998,Subsidiary or Business Segment,Internet & Web Services,Information Technology,Unknown / Non-Applicable
109,Data Science Admissions Specialist (Part-time),$18.00 Per hour (Employer Est.),"What is Pathrise?
Pathrise (YC W18) connects job seekers across North America to world class industry mentorship and career coaching to help them land a new career. The program is free upfront and our customers pay us back when they’re hired.

Built around aligned incentives, we help build equity in the job search process by providing 1-on-1 mentorship, training, and a platform to uplift job seekers and ultimately, help them fulfill their hopes, ambitions, and livelihoods. We’ve already helped more than a thousand fellows land meaningful jobs, and helped them earn over $100M in salary.

In 2022 we raised our Series B and there is even more exciting growth on the horizon. That year we expanded from 6 to 14 industries, launched a tiered pricing system with differentiated product offerings, and much more.

Our Mission",4.7,"Pathrise
4.7",Remote,51 to 200 Employees,2017,Company - Private,Education Support & Training Services,Education,$1 to $5 million (USD)
